,Date,Ticker,Close,Sector,Close_z
41,2024-03-01,AAPL,179.66000366210938,Information Technology,-1.2895247509279353
42,2024-03-04,AAPL,175.10000610351562,Information Technology,-1.4781740407780988
43,2024-03-05,AAPL,170.1199951171875,Information Technology,-1.6841994879291138
44,2024-03-06,AAPL,169.1199951171875,Information Technology,-1.7255699683791823
45,2024-03-07,AAPL,169.0,Information Technology,-1.7305342240288915
46,2024-03-08,AAPL,170.72999572753906,Information Technology,-1.6589634696040345
47,2024-03-11,AAPL,172.75,Information Technology,-1.575394922341134
48,2024-03-12,AAPL,173.22999572753906,Information Technology,-1.5555372684788629
49,2024-03-13,AAPL,171.1300048828125,Information Technology,-1.6424148986659461
50,2024-03-14,AAPL,173.0,Information Technology,-1.565052302228617
51,2024-03-15,AAPL,172.6199951171875,Information Technology,-1.5807732868039421
52,2024-03-18,AAPL,173.72000122070312,Information Technology,-1.5352655058034927
53,2024-03-19,AAPL,176.0800018310547,Information Technology,-1.4376311466907932
54,2024-03-20,AAPL,178.6699981689453,Information Technology,-1.3304817538283398
55,2024-03-21,AAPL,171.3699951171875,Information Technology,-1.6324863873665278
56,2024-03-22,AAPL,172.27999877929688,Information Technology,-1.594839098653741
57,2024-03-25,AAPL,170.85000610351562,Information Technology,-1.6539985826908907
58,2024-03-26,AAPL,169.7100067138672,Information Technology,-1.7011609051534315
59,2024-03-27,AAPL,173.30999755859375,Information Technology,-1.5522275542912451
60,2024-03-28,AAPL,171.47999572753906,Information Technology,-1.627935609266483
61,2024-04-01,AAPL,170.02999877929688,Information Technology,-1.6879226796663955
62,2024-04-02,AAPL,168.83999633789062,Information Technology,-1.737153652404127
63,2024-04-03,AAPL,169.64999389648438,Information Technology,-1.7036436642417208
64,2024-04-04,AAPL,168.82000732421875,Information Technology,-1.7379806075034552
65,2024-04-05,AAPL,169.5800018310547,Information Technology,-1.7065392696162396
66,2024-04-08,AAPL,168.4499969482422,Information Technology,-1.7532881145291161
67,2024-04-09,AAPL,169.6699981689453,Information Technology,-1.7028160778789576
68,2024-04-10,AAPL,167.77999877929688,Information Technology,-1.78100626067905
69,2024-04-11,AAPL,175.0399932861328,Information Technology,-1.480656799866388
70,2024-04-12,AAPL,176.5500030517578,Information Technology,-1.4181869703781862
71,2024-04-15,AAPL,172.69000244140625,Information Technology,-1.5778770501659887
72,2024-04-16,AAPL,169.3800048828125,Information Technology,-1.7148132394535665
73,2024-04-17,AAPL,168.0,Information Technology,-1.7719047044789602
74,2024-04-18,AAPL,167.0399932861328,Information Technology,-1.8116206434669373
75,2024-04-19,AAPL,165.0,Information Technology,-1.8960161458291662
76,2024-04-22,AAPL,165.83999633789062,Information Technology,-1.8612650937543327
77,2024-04-23,AAPL,166.89999389648438,Information Technology,-1.8174124854794096
78,2024-04-24,AAPL,169.02000427246094,Information Technology,-1.7297066376661285
79,2024-04-25,AAPL,169.88999938964844,Information Technology,-1.6937145216788678
80,2024-04-26,AAPL,169.3000030517578,Information Technology,-1.718122953641184
81,2024-04-29,AAPL,173.5,Information Technology,-1.5443670620035825
82,2024-04-30,AAPL,170.3300018310547,Information Technology,-1.675511409278688
83,2024-05-01,AAPL,169.3000030517578,Information Technology,-1.718122953641184
84,2024-05-02,AAPL,173.02999877929688,Information Technology,-1.5638112383161895
85,2024-05-03,AAPL,183.3800048828125,Information Technology,-1.135626513152605
86,2024-05-06,AAPL,181.7100067138672,Information Technology,-1.2047151397526077
87,2024-05-07,AAPL,182.3999938964844,Information Technology,-1.176170038503344
88,2024-05-08,AAPL,182.7400054931641,Information Technology,-1.1621035953901104
89,2024-05-09,AAPL,184.57000732421875,Information Technology,-1.0863955404148737
90,2024-05-10,AAPL,183.0500030517578,Information Technology,-1.14927884745274
91,2024-05-13,AAPL,186.27999877929688,Information Technology,-1.0156523723527797
92,2024-05-14,AAPL,187.42999267578125,Information Technology,-0.9680765723405746
93,2024-05-15,AAPL,189.72000122070312,Information Technology,-0.8733378186023941
94,2024-05-16,AAPL,189.83999633789065,Information Technology,-0.8683735629526838
95,2024-05-17,AAPL,189.8699951171875,Information Technology,-0.8671324990402576
96,2024-05-20,AAPL,191.0399932861328,Information Technology,-0.8187291126652895
97,2024-05-21,AAPL,192.3500061035156,Information Technology,-0.7645332530144157
98,2024-05-22,AAPL,190.8999938964844,Information Technology,-0.8245209546777605
99,2024-05-23,AAPL,186.8800048828125,Information Technology,-0.9908298315773648
100,2024-05-24,AAPL,189.97999572753903,Information Technology,-0.8625817209402139
101,2024-05-28,AAPL,189.9900054931641,Information Technology,-0.8621676121271127
102,2024-05-29,AAPL,190.2899932861328,Information Technology,-0.8497569730028409
103,2024-05-30,AAPL,191.2899932861328,Information Technology,-0.8083864925527723
104,2024-05-31,AAPL,192.25,Information Technology,-0.7686705535647952
105,2024-06-03,AAPL,194.02999877929688,Information Technology,-0.6950311488647477
106,2024-06-04,AAPL,194.3500061035156,Information Technology,-0.6817922921142783
107,2024-06-05,AAPL,195.8699951171875,Information Technology,-0.6189096163398456
108,2024-06-06,AAPL,194.47999572753903,Information Technology,-0.6764145589149049
109,2024-06-07,AAPL,196.88999938964844,Information Technology,-0.576711549527014
110,2024-06-10,AAPL,193.1199951171875,Information Technology,-0.7326784375775345
111,2024-06-11,AAPL,207.1499938964844,Information Technology,-0.15225064736414476
112,2024-06-12,AAPL,213.07000732421875,Information Technology,0.09266315241208299
113,2024-06-13,AAPL,214.2400054931641,Information Technology,0.14106653878705236
114,2024-06-14,AAPL,212.4900054931641,Information Technology,0.06866819799943219
115,2024-06-17,AAPL,216.6699981689453,Information Technology,0.2415965032742694
116,2024-06-18,AAPL,214.2899932861328,Information Technology,0.14313455779880693
117,2024-06-20,AAPL,209.67999267578125,Information Technology,-0.047583382326546984
118,2024-06-21,AAPL,207.4900054931641,Information Technology,-0.1381842042509111
119,2024-06-24,AAPL,208.13999938964844,Information Technology,-0.1112936444637415
120,2024-06-25,AAPL,209.07000732421875,Information Technology,-0.07281876938819165
121,2024-06-26,AAPL,213.25,Information Technology,0.10010953588664674
122,2024-06-27,AAPL,214.1000061035156,Information Technology,0.13527469677457776
123,2024-06-28,AAPL,210.6199951171875,Information Technology,-0.008695029701332905
124,2024-07-01,AAPL,216.75,Information Technology,0.24490621746188707
125,2024-07-02,AAPL,220.2700042724609,Information Technology,0.39053048539988927
126,2024-07-03,AAPL,221.5500030517578,Information Technology,0.44348464987490355
127,2024-07-05,AAPL,226.33999633789065,Information Technology,0.6416489734748224
128,2024-07-08,AAPL,227.82000732421875,Information Technology,0.7028777390505957
129,2024-07-09,AAPL,228.67999267578125,Information Technology,0.7384557462247576
130,2024-07-10,AAPL,232.97999572753903,Information Technology,0.9163489384127386
131,2024-07-11,AAPL,227.57000732421875,Information Technology,0.6925351189380786
132,2024-07-12,AAPL,230.5399932861328,Information Technology,0.8154048651124227
133,2024-07-15,AAPL,234.3999938964844,Information Technology,0.9750949449002263
134,2024-07-16,AAPL,234.82000732421875,Information Technology,0.9924711022010764
135,2024-07-17,AAPL,228.8800048828125,Information Technology,0.746730347325519
136,2024-07-18,AAPL,224.17999267578125,Information Technology,0.5522885841994486
137,2024-07-19,AAPL,224.30999755859372,Information Technology,0.5576669486622554
138,2024-07-22,AAPL,223.9600067138672,Information Technology,0.5431876592627933
139,2024-07-23,AAPL,225.00999450683597,Information Technology,0.5866261587246189
140,2024-07-24,AAPL,218.5399932861328,Information Technology,0.31895909971159875
141,2024-07-25,AAPL,217.4900054931641,Information Technology,0.2755206002497755
142,2024-07-26,AAPL,217.9600067138672,Information Technology,0.29496477656238135
143,2024-07-29,AAPL,218.2400054931641,Information Technology,0.306548460587327
144,2024-07-30,AAPL,218.8000030517578,Information Technology,0.3297158286372147
145,2024-07-31,AAPL,222.0800018310547,Information Technology,0.46541095401236515
146,2024-08-01,AAPL,218.3600006103516,Information Technology,0.3115127162370362
147,2024-08-02,AAPL,219.8600006103516,Information Technology,0.37356843691213915
148,2024-08-05,AAPL,209.2700042724609,Information Technology,-0.06454479955086602
149,2024-08-06,AAPL,207.22999572753903,Information Technology,-0.14894093317652946
150,2024-08-07,AAPL,209.82000732421875,Information Technology,-0.04179090905064015
151,2024-08-08,AAPL,213.30999755859372,Information Technology,0.10259166371150015
152,2024-08-09,AAPL,216.2400054931641,Information Technology,0.2238074996871897
153,2024-08-12,AAPL,217.52999877929688,Information Technology,0.27717514171186586
154,2024-08-13,AAPL,221.2700042724609,Information Technology,0.4319009658499579
155,2024-08-14,AAPL,221.72000122070312,Information Technology,0.45051755579980307
156,2024-08-15,AAPL,224.72000122070312,Information Technology,0.574628997150009
157,2024-08-16,AAPL,226.0500030517578,Information Technology,0.6296518119002126
158,2024-08-19,AAPL,225.88999938964844,Information Technology,0.6230323835249773
159,2024-08-20,AAPL,226.50999450683597,Information Technology,0.6486818793997219
160,2024-08-21,AAPL,226.3999938964844,Information Technology,0.644131101299677
161,2024-08-22,AAPL,224.52999877929688,Information Technology,0.5667685048623464
162,2024-08-23,AAPL,226.83999633789065,Information Technology,0.6623342136998567
163,2024-08-26,AAPL,227.17999267578125,Information Technology,0.6764000255496546
164,2024-08-27,AAPL,228.02999877929688,Information Technology,0.7115651864375868
165,2024-08-28,AAPL,226.4900054931641,Information Technology,0.6478549243003935
166,2024-08-29,AAPL,229.7899932861328,Information Technology,0.7843770047748712
167,2024-08-30,AAPL,229.0,Information Technology,0.7516946029752282
168,2024-09-03,AAPL,222.7700042724609,Information Technology,0.4939566865250609
169,2024-09-04,AAPL,220.8500061035156,Information Technology,0.41452543981254125
170,2024-09-05,AAPL,222.3800048828125,Information Technology,0.4778222244000727
171,2024-09-06,AAPL,220.82000732421875,Information Technology,0.41328437590011513
172,2024-09-09,AAPL,220.91000366210935,Information Technology,0.4170075676373958
173,2024-09-10,AAPL,220.1100006103516,Information Technology,0.38391105702465633
174,2024-09-11,AAPL,222.66000366210935,Information Technology,0.48940590842501597
175,2024-09-12,AAPL,222.7700042724609,Information Technology,0.4939566865250609
176,2024-09-13,AAPL,222.5,Information Technology,0.48278648004978186
177,2024-09-16,AAPL,216.32000732421875,Information Technology,0.22711721387480616
178,2024-09-17,AAPL,216.7899932861328,Information Technology,0.24656075892397858
179,2024-09-18,AAPL,220.69000244140625,Information Technology,0.40790601143730715
180,2024-09-19,AAPL,228.8699951171875,Information Technology,0.7463162385124201
181,2024-09-20,AAPL,228.1999969482422,Information Technology,0.7185980923624863
182,2024-09-23,AAPL,226.47000122070312,Information Technology,0.6470273379376292
183,2024-09-24,AAPL,227.3699951171875,Information Technology,0.6842605178373171
184,2024-09-25,AAPL,226.3699951171875,Information Technology,0.6428900373872485
185,2024-09-26,AAPL,227.5200042724609,Information Technology,0.6904664686628871
186,2024-09-27,AAPL,227.7899932861328,Information Technology,0.7016360438747339
187,2024-09-30,AAPL,233.0,Information Technology,0.9171765247755028
188,2024-10-01,AAPL,226.2100067138672,Information Technology,0.6362712402754478
189,2024-10-02,AAPL,226.77999877929688,Information Technology,0.659852085875001
190,2024-10-03,AAPL,225.6699981689453,Information Technology,0.6139308273248874
191,2024-10-04,AAPL,226.8000030517578,Information Technology,0.660679672237764
192,2024-10-07,AAPL,221.69000244140625,Information Technology,0.4492764918873758
193,2024-10-08,AAPL,225.7700042724609,Information Technology,0.6180681278752669
194,2024-10-09,AAPL,229.5399932861328,Information Technology,0.774034384662354
195,2024-10-10,AAPL,229.0399932861328,Information Technology,0.7533491444373197
196,2024-10-11,AAPL,227.5500030517578,Information Technology,0.6917075325753155
197,2024-10-14,AAPL,231.3000030517578,Information Technology,0.846846834263073
198,2024-10-15,AAPL,233.8500061035156,Information Technology,0.9523416856634338
199,2024-10-16,AAPL,231.77999877929688,Information Technology,0.8667044881253443
